Bid Number,School,Debater 1,Debater 2,Year
5,Whitman,Nate Cohn,Daniel Straus,2010
6,Texas – Dallas,Andrew Baker,Brian Rubaie,2010
7,Mary Washington,Kevin Kallmyer,Peter Susko,2010
8,Wake Forest,Sam Crichton,Will Sears,2010
9,West Georgia,Tyler Boykin,Jim Schultz,2010
10,Georgia,Brittany Cambre,Mike Lacy,2010
11,California – Berkeley,James Brockaway,Rahul Jaswa,2010
12,Oklahoma,R.J. Giglio,Nick Watts,2010
13,Kansas,Patrick Kennedy,Chris Stone,2010
14,Wake Forest,Mike Carlotti,Carlos Maza,2010
15,Missouri State,Jordan Foley,Matt Kearney,2010
16,Kansas,Sean Kennedy,Dylan Quigley,2010
,,,,
1,Emory,Ovais Inamullah,Stephen Weil,2011
